,Country,Wins,Gold,Silver,Bronze,Loss
0,China,100,41,32,27,404
1,Denmark,93,35,35,23,508
2,Denmark/Sweden,0,0,0,0,1
3,Netherlands,251,106,87,58,1144
4,United States,1292,618,369,305,3216
5,Finland,42,23,11,8,271
6,Norway,194,71,69,54,769
7,Romania,193,88,60,45,1063
8,Estonia,1,1,0,0,65
9,France,527,200,169,158,3721
10,Taifun,0,0,0,0,3
11,Morocco,15,6,5,4,287
12,Spain,138,66,39,33,1391
13,Egypt,4,2,1,1,698
14,Iran,8,4,3,1,179
15,Bulgaria,71,31,27,13,654
16,Italy,517,184,167,166,3084
17,Chad,0,0,0,0,8
18,Azerbaijan,10,5,4,1,58
19,Sudan,0,0,0,0,42
20,Russia,205,75,69,61,745
21,Argentina,82,30,29,23,891
22,Cuba,96,33,32,31,538
23,Belarus,32,13,11,8,276
24,Greece,25,10,8,7,434
25,Cameroon,6,5,1,0,74
26,Turkey,39,16,13,10,439
27,Chile,9,5,4,0,224
28,Mexico,23,11,9,3,729
29,Soviet Union,474,196,141,137,617
30,Nicaragua,0,0,0,0,32
31,Hungary,200,78,66,56,1099
32,Nigeria,30,11,10,9,251
33,Algeria,4,2,1,1,238
34,Kuwait,2,2,0,0,215
35,Bahrain,0,0,0,0,55
36,Pakistan,44,20,16,8,151
37,Iraq,1,1,0,0,67
38,United Arab Republic,2,1,1,0,71
39,Lebanon,2,1,1,0,97
40,Qatar,3,2,1,0,94
41,Malaysia,3,2,1,0,129
42,Germany,335,118,110,107,1361
43,Thessalonki-1,0,0,0,0,1
44,Canada,307,107,101,99,2066
45,Ireland,8,5,2,1,336
46,Australia,334,139,109,86,1712
47,South Africa,24,12,7,5,343
48,Eritrea,0,0,0,0,6
49,Tanzania,1,1,0,0,29
50,Jordan,1,1,0,0,44
51,Tunisia,2,2,0,0,222
52,Libya,0,0,0,0,47
53,Belgium,137,57,52,28,1131
54,Djibouti,0,0,0,0,12
55,Palestine,0,0,0,0,12
56,Comoros,0,0,0,0,14
57,Kazakhstan,10,4,3,3,263
58,Brunei,0,0,0,0,5
59,India,30,24,4,2,256
60,Saudi Arabia,5,4,1,0,192
61,Syria,2,1,1,0,66
62,Maldives,0,0,0,0,11
63,Ethiopia,25,12,10,3,111
64,United Arab Emirates,1,1,0,0,94
65,North Yemen,0,0,0,0,8
66,Indonesia,2,1,1,0,60
67,Philippines,1,1,0,0,220
68,Singapore,0,0,0,0,46
69,Uzbekistan,7,4,2,1,103
70,Kyrgyzstan,1,1,0,0,55
71,Tajikistan,3,2,1,0,28
72,Unified Team,48,22,15,11,104
73,Japan,44,20,13,11,412
74,Japan-1,0,0,0,0,5
75,Congo (Brazzaville),0,0,0,0,28
76,Switzerland,108,46,38,24,1212
77,Brazil,138,66,52,20,1224
78,West Germany,85,29,29,27,434
79,East Germany,165,62,54,49,292
80,Monaco,0,0,0,0,81
81,Fornebo,0,0,0,0,2
82,Israel,1,1,0,0,140
83,Vesper Boat Club,0,0,0,0,7
84,Uruguay,23,12,11,0,139
85,Sweden,291,115,105,71,1399
86,United States Virgin Islands,0,0,0,0,59
87,Sri Lanka,0,0,0,0,37
88,Armenia,5,3,1,1,49
89,Cote d'Ivoire,1,1,0,0,61
